"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"25",2015,325.885,2726.148,27.7413,1083.463,39.056,822.869,34.997,387.571,225.982,559.816,0,6304.086,NA,1053.805,112,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names.","Casey's General Stores Inc.",30101030,5412
"26",2016,350.685,3020.102,30.713,1190.62,38.766,907.356,35.014,446.546,177.485,508.833,0,6640.587,NA,1172.328,112.07,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names.","Casey's General Stores Inc.",30101030,5412
"27",2017,396.84,3469.927,34.4726,1271.141,36.874,1291.725,37.205,507.85,317.903,486.347,0,7472.124,NA,1283.046,96.6,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names.","Casey's General Stores Inc.",30101030,5412
"28",2018,410.58,3731.376,38.4227,1408.769,36.665,1283.275,36.841,590.932,203.886,563.445,0,8364.91,NA,1391.279,132.35,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names.","Casey's General Stores Inc.",30101030,5412
"29",2019,387.25,3943.892,44.645,1643.205,36.806,714.502,37.153,1063.428,263.846,646.641,0,8112.296,NA,1498.043,151.41,"Casey's General Stores, Inc., together with its subsidiaries, operates convenience stores under the Casey's and Casey's General Store names.","Casey's General Stores Inc.",30101030,5412
"30",2010,414.774,522.092,11.0353,325.564,29.502,0,9.6,175.546,57.739,108.697,0,925.528,6.663,251.121,24.44,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"31",2011,429.132,551.089,12.5734,366.679,29.163,0,9.5,156.993,64.834,118.3,0,931.458,7.056,238.982,26.81,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"32",2012,390.214,532.646,11.788,345.234,29.287,0,9.6,159.602,61.668,117.76,0,944.048,6.186,244.327,27.57,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"33",2013,446.748,596.918,13.3749,391.109,29.242,0,10,177.131,54.322,102.919,0,920.033,5.741,245.868,27.96,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
"34",2014,454.451,608.278,13.6179,380.198,27.919,0,10,193.901,60.502,110.111,0,986.914,5.528,276.234,42.4,"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. It operates through two segments, Retail and Credit.","Cato Corp (The)",25504010,5621
